,dataset,mode,size,channels,auc,class,f1,run
420,pokemon,test,4,3072.0,0.5119047619047619,6,,2
421,pokemon,test,4,3072.0,,7,,2
422,pokemon,test,4,3072.0,0.2333333333333333,8,,2
423,pokemon,test,4,3072.0,,9,,2
424,pokemon,test,4,3072.0,0.059523809523809486,10,,2
425,pokemon,test,4,3072.0,0.6933333333333334,11,,2
426,pokemon,test,4,3072.0,,12,,2
427,pokemon,test,4,3072.0,0.48809523809523797,13,,2
428,pokemon,test,4,3072.0,,14,,2
429,pokemon,test,4,3072.0,0.2333333333333333,15,,2
430,pokemon,test,4,3072.0,,16,,2
431,pokemon,test,4,3072.0,0.2976190476190476,17,,2
432,pokemon,train,8,12.0,0.4412698412698413,0,,0
433,pokemon,train,8,12.0,0.6766798418972332,1,,0
434,pokemon,train,8,12.0,0.4051136363636364,2,,0
435,pokemon,train,8,12.0,0.4311490978157645,3,,0
436,pokemon,train,8,12.0,0.6471590909090909,4,,0
437,pokemon,train,8,12.0,0.5735537190082645,5,,0
438,pokemon,train,8,12.0,0.5189655172413794,6,,0
439,pokemon,train,8,12.0,0.4629310344827586,7,,0
440,pokemon,train,8,12.0,0.555327868852459,8,,0
441,pokemon,train,8,12.0,0.4031620553359684,9,,0
442,pokemon,train,8,12.0,0.4992690058479533,10,,0
443,pokemon,train,8,12.0,0.4039525691699605,11,,0
444,pokemon,train,8,12.0,0.4561824729891957,12,,0
445,pokemon,train,8,12.0,0.5286016949152542,13,,0
446,pokemon,train,8,12.0,0.569672131147541,14,,0
447,pokemon,train,8,12.0,0.4505928853754941,15,,0
448,pokemon,train,8,12.0,0.3900826446280992,16,,0
449,pokemon,train,8,12.0,0.6409438775510204,17,,0
450,pokemon,train,8,12.0,0.3814058956916099,0,,1
451,pokemon,train,8,12.0,0.5494071146245059,1,,1
452,pokemon,train,8,12.0,0.6210227272727273,2,,1
453,pokemon,train,8,12.0,0.3637226970560303,3,,1
454,pokemon,train,8,12.0,0.5585227272727272,4,,1
455,pokemon,train,8,12.0,0.6033057851239669,5,,1
456,pokemon,train,8,12.0,0.506896551724138,6,,1
457,pokemon,train,8,12.0,0.3982758620689655,7,,1
458,pokemon,train,8,12.0,0.5368852459016393,8,,1
459,pokemon,train,8,12.0,0.4055335968379447,9,,1
460,pokemon,train,8,12.0,0.7463450292397661,10,,1
461,pokemon,train,8,12.0,0.4229249011857708,11,,1
462,pokemon,train,8,12.0,0.7202881152460985,12,,1
463,pokemon,train,8,12.0,0.6673728813559323,13,,1
464,pokemon,train,8,12.0,0.2725409836065574,14,,1
465,pokemon,train,8,12.0,0.4079051383399209,15,,1
466,pokemon,train,8,12.0,0.5752066115702479,16,,1
467,pokemon,train,8,12.0,0.4904336734693878,17,,1
468,pokemon,train,8,12.0,0.5560090702947846,0,,2
469,pokemon,train,8,12.0,0.4632411067193675,1,,2
470,pokemon,train,8,12.0,0.5392045454545454,2,,2
471,pokemon,train,8,12.0,0.36277302943969614,3,,2
472,pokemon,train,8,12.0,0.4619318181818182,4,,2
473,pokemon,train,8,12.0,0.5900826446280991,5,,2
474,pokemon,train,8,12.0,0.6948275862068966,6,,2
475,pokemon,train,8,12.0,0.27155172413793105,7,,2
476,pokemon,train,8,12.0,0.4918032786885246,8,,2
477,pokemon,train,8,12.0,0.5154150197628459,9,,2
478,pokemon,train,8,12.0,0.5562865497076024,10,,2
479,pokemon,train,8,12.0,0.5652173913043478,11,,2
480,pokemon,train,8,12.0,0.5726290516206483,12,,2
